sediment,reduced_microorganism
0.0,1.0
0.03,1.0
0.02,1.0
3.5,0.0
0.02,1.0
0.0,0.0
0.0,1.0
0.02,0.0
0.0,0.0
0.0,1.0
0.01,1.0
0.0,1.0
0.0,1.0
0.0,1.0
0.0,1.0
0.0,1.0
0.0,1.0
0.05,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.02,0.0
0.02,0.0
0.02,0.0
0.0,1.0
0.05,0.0
0.01,0.0
0.0,0.0
0.02,0.0
0.05,0.0
0.05,1.0
0.05,0.0
0.05,0.0
0.05,0.0
0.05,0.0
0.01,1.0
0.05,1.0
0.02,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.05,0.0
0.05,0.0
0.0,0.0
0.05,0.0
0.01,1.0
0.01,1.0
0.05,1.0
0.01,0.0
0.05,1.0
0.1,0.0
0.05,1.0
0.02,0.0
0.02,0.0
0.0,0.0
0.0,0.0
0.02,0.0
0.02,0.0
0.02,1.0
0.05,0.0
0.02,1.0
0.0,1.0
0.0,1.0
0.0,1.0
0.0,1.0
0.0,1.0
0.0,1.0
0.5,0.0
0.3,0.0
0.1,0.0
0.05,0.0
0.1,0.0
0.02,0.0
0.0,0.0
0.02,1.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,1.0
0.0,1.0
0.0,1.0
0.0,1.0
0.0,0.0
0.0,1.0
0.0,0.0
0.0,1.0
0.0,1.0
0.0,0.0
0.05,0.0
0.0,1.0
0.02,1.0
0.02,1.0
0.02,1.0
0.0,1.0
0.0,1.0
0.0,1.0
0.0,1.0
0.02,0.0
0.02,1.0
0.03,1.0
0.05,1.0
0.02,0.0
0.0,1.0
0.1,1.0
0.02,1.0
0.05,0.0
0.5,0.0
0.2,0.0
1.5,0.0
0.0,1.0
0.0,0.0
0.0,1.0
0.0,1.0
0.0,1.0
0.0,1.0
0.0,1.0
0.0,1.0
0.0,0.0
0.0,1.0
0.0,0.0
0.0,1.0
0.0,1.0
0.0,1.0
0.0,1.0
0.02,0.0
0.0,1.0
0.02,0.0
0.08,0.0
0.0,1.0
0.1,1.0
0.02,1.0
0.0,1.0
0.0,1.0
0.02,1.0
0.02,1.0
0.0,1.0
0.02,1.0
0.0,1.0
0.0,1.0
0.0,1.0
0.02,1.0
0.02,1.0
0.02,1.0
0.0,1.0
0.02,1.0
0.0,1.0
0.02,1.0
0.05,0.0
0.0,1.0
0.05,1.0
0.0,1.0
0.0,1.0
0.0,1.0
0.0,1.0
0.0,1.0
0.05,0.0
0.0,1.0
0.02,1.0
0.05,1.0
0.01,1.0
0.0,1.0
0.03,0.0
0.01,1.0
0.0,1.0
0.01,0.0
0.0,0.0
